0.0625e3 20e3
0.0625e3 22e3
0.0625e3 24e3
0.0625e3 26e3
0.0625e3 28e3
0.0625e3 30e3
0.0625e3 32e3
0.0625e3 34e3
0.0625e3 36e3
0.0625e3 38e3
0.0625e3 40e3
0.0625e3 41e3
0.0625e3 42e3
0.0625e3 43e3
0.0625e3 44e3
0.0625e3 45e3
0.0625e3 46e3
0.0625e3 47e3
0.0625e3 48e3
0.0625e3 49e3
0.0625e3 50e3
0.0625e3 50.5e3
0.0625e3 51e3
0.0625e3 51.5e3
0.0625e3 52e3
0.0625e3 52.5e3
0.0625e3 53e3
0.0625e3 54e3
0.0625e3 55e3
0.0625e3 56e3
0.0625e3 57e3
0.0625e3 58e3
0.0625e3 59e3
0.0625e3 60e3
0.0625e3 61e3
0.0625e3 62e3
0.0625e3 63e3
0.0625e3 64e3
0.0625e3 65e3
0.0625e3 66e3
0.0625e3 67e3
0.0625e3 68e3
0.0625e3 69e3
0.0625e3 70e3
